#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb  2 18:12:45 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       telescope_map.ncd
#OUTPUT FILE:      telescope_pad.csv
#PART TYPE:        xc5vlx50
#SPEED GRADE:      -2
#PACKAGE:          ff676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD11,,IOBM,IO_L9P_CC_GC_4,UNUSED,,4,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,IOBM,IO_L6P_GC_4,UNUSED,,4,,,,,,,,,
AD14,,IOBS,IO_L4N_GC_VREF_4,UNUSED,,4,,,,,,,,,
AD15,,IOBM,IO_L4P_GC_4,UNUSED,,4,,,,,,,,,
AD16,,IOBS,IO_L11N_CC_21,UNUSED,,21,,,,,,,,,
AD17,,,VCCO_2,,,2,,,,,any******,,,,
AD18,,IOBM,IO_L0P_GC_D15_4,UNUSED,,4,,,,,,,,,
AD19,ioFpga_4,IOB,IO_L17P_17,OUTPUT,LVCMOS25*,17,12,SLOW,PULLDOWN,,,LOCATED,NO,NONE,
AD20,,IOBM,IO_L5P_21,UNUSED,,21,,,,,,,,,
AD21,,IOBS,IO_L5N_21,UNUSED,,21,,,,,,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,IOBS,IO_L0N_21,UNUSED,,21,,,,,,,,,
AD24,,IOBM,IO_L0P_21,UNUSED,,21,,,,,,,,,
AD25,,IOBS,IO_L3N_21,UNUSED,,21,,,,,,,,,
AD26,,IOBS,IO_L1N_21,UNUSED,,21,,,,,,,,,
AE1,,IOBM,IO_L18P_14,UNUSED,,14,,,,,,,,,
AE2,,IOBS,IO_L19N_14,UNUSED,,14,,,,,,,,,
AE3,galIO<8>,IOB,IO_L16N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AE4,,,GND,,,,,,,,,,,,
AE5,galIO<12>,IOB,IO_L19N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AE6,galIO<13>,IOB,IO_L19P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AE7,,IOBS,IO_L18N_21,UNUSED,,21,,,,,,,,,
AE8,,IOBM,IO_L19P_21,UNUSED,,21,,,,,,,,,
AE9,,,GND,,,,,,,,,,,,
AE10,,IOBS,IO_L16N_21,UNUSED,,21,,,,,,,,,
AE11,,IOBS,IO_L15N_21,UNUSED,,21,,,,,,,,,
AE12,,IOBM,IO_L15P_21,UNUSED,,21,,,,,,,,,
AE13,,IOBS,IO_L14N_VREF_21,UNUSED,,21,,,,,,,,,
AE14,,,GND,,,,,,,,,,,,
AE15,,IOBS,IO_L12N_VRP_21,UNUSED,,21,,,,,,,,,
AE16,,IOBM,IO_L11P_CC_21,UNUSED,,21,,,,,,,,,
AE17,,IOBS,IO_L10N_CC_21,UNUSED,,21,,,,,,,,,
AE18,,IOBS,IO_L8N_CC_21,UNUSED,,21,,,,,,,,,
AE19,,,GND,,,,,,,,,,,,
AE20,,IOBM,IO_L6P_21,UNUSED,,21,,,,,,,,,
AE21,,IOBS,IO_L6N_21,UNUSED,,21,,,,,,,,,
AE22,,IOBS,IO_L7N_21,UNUSED,,21,,,,,,,,,
AE23,,IOBS,IO_L4N_VREF_21,UNUSED,,21,,,,,,,,,
AE24,,,VCCO_21,,,21,,,,,any******,,,,
AE25,,IOBM,IO_L3P_21,UNUSED,,21,,,,,,,,,
AE26,,IOBM,IO_L1P_21,UNUSED,,21,,,,,,,,,
AF1,,,GND,,,,,,,,,,,,
AF2,,IOBM,IO_L19P_14,UNUSED,,14,,,,,,,,,
AF3,galIO<7>,IOB,IO_L16P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AF4,galIO<9>,IOB,IO_L18N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AF5,galIO<11>,IOB,IO_L18P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AF6,,,GND,,,,,,,,,,,,
AF7,,IOBM,IO_L18P_21,UNUSED,,21,,,,,,,,,
AF8,,IOBS,IO_L17N_21,UNUSED,,21,,,,,,,,,
AF9,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AF10,,IOBM,IO_L16P_21,UNUSED,,21,,,,,,,,,
AF11,,,GND,,,,,,,,,,,,
AF12,,IOBM,IO_L14P_21,UNUSED,,21,,,,,,,,,
AF13,,IOBS,IO_L13N_21,UNUSED,,21,,,,,,,,,
AF14,,IOBM,IO_L13P_21,UNUSED,,21,,,,,,,,,
AF15,,IOBM,IO_L12P_VRN_21,UNUSED,,21,,,,,,,,,
AF16,,,GND,,,,,,,,,,,,
AF17,,IOBM,IO_L10P_CC_21,UNUSED,,21,,,,,,,,,
AF18,,IOBM,IO_L8P_CC_21,UNUSED,,21,,,,,,,,,
AF19,,IOBM,IO_L9P_CC_21,UNUSED,,21,,,,,,,,,
AF20,,IOBS,IO_L9N_CC_21,UNUSED,,21,,,,,,,,,
AF21,,,GND,,,,,,,,,,,,
AF22,,IOBM,IO_L7P_21,UNUSED,,21,,,,,,,,,
AF23,,IOBM,IO_L4P_21,UNUSED,,21,,,,,,,,,
AF24,,IOBM,IO_L2P_21,UNUSED,,21,,,,,,,,,
AF25,,IOBS,IO_L2N_21,UNUSED,,21,,,,,,,,,
AF26,,,GND,,,,,,,,,,,,
B1,adcQL1_p<1>,IOB,IO_L19P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
B2,adcQL1_n<1>,IOB,IO_L19N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B3,,,GND,,,,,,,,,,,,
B4,adcQL1_n<5>,IOB,IO_L15N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B5,adcQL1_p<7>,IOB,IO_L13P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B6,adcQL1_n<7>,IOB,IO_L13N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B7,adcI1_p<0>,IOB,IO_L9P_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
B8,,,GND,,,,,,,,,,,,
B9,adcI1_p<3>,IOB,IO_L5P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
B10,adcI1_n<3>,IOB,IO_L5N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B11,adcI1_p<4>,IOB,IO_L6P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
B12,adcI1_n<6>,IOB,IO_L2N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
B13,,,GND,,,,,,,,,,,,
B14,adcI2_n<0>,IOB,IO_L0N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
B15,adcI2_p<2>,IOB,IO_L2P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B16,adcI2_n<2>,IOB,IO_L2N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
B17,adcI2_p<4>,IOB,IO_L5P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B18,,,GND,,,,,,,,,,,,
B19,adcI2_p<6>,IOB,IO_L7P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B20,adcI2_n<7>,IOB,IO_L8N_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
B21,ckAdcQH1_n,IOB,IO_L11N_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
B22,adcQH1_p<0>,IOB,IO_L13P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B23,,,VCCO_15,,,15,,,,,any******,,,,
B24,adcQH1_p<2>,IOB,IO_L15P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B25,adcQH1_p<3>,IOB,IO_L17P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
B26,adcQH1_p<4>,IOB,IO_L18P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
C1,adcQL1_n<0>,IOB,IO_L18N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C2,adcQL1_p<2>,IOB,IO_L16P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
C3,adcQL1_n<2>,IOB,IO_L16N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C4,adcQL1_p<5>,IOB,IO_L15P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
C5,,,GND,,,,,,,,,,,,
C6,ckAdcQL1_p,IOB,IO_L11P_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C7,ckAdcQL1_n,IOB,IO_L11N_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C8,ckAdcI1_n,IOB,IO_L8N_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C9,adcI1_p<2>,IOB,IO_L4P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
C10,,,VCCO_1,,,1,,,,,1.80,,,,
C11,adcI1_p<5>,IOB,IO_L1P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
C12,adcI1_n<5>,IOB,IO_L1N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
C13,adcI1_p<6>,IOB,IO_L2P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
C14,adcI2_p<0>,IOB,IO_L0P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
C15,,,GND,,,,,,,,,,,,
C16,adcI2_n<3>,IOB,IO_L3N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C17,,IOBS,IO_L4N_VREF_15,UNUSED,,15,,,,,,,,,
C18,adcI2_n<6>,IOB,IO_L7N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C19,,IOBM,IO_L9P_CC_15,UNUSED,,15,,,,,,,,,
C20,,,VCCO_15,,,15,,,,,any******,,,,
C21,ckAdcQH1_p,IOB,IO_L11P_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C22,adcQH1_n<7>,IOB,IO_L12N_VRP_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C23,adcQH1_n<2>,IOB,IO_L15N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C24,adcQH1_n<5>,IOB,IO_L16N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
C25,,,GND,,,,,,,,,,,,
C26,adcQH1_n<4>,IOB,IO_L18N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
D1,adcQL1_p<0>,IOB,IO_L18P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
D2,,,GND,,,,,,,,,,,,
D3,adcQL1_p<4>,IOB,IO_L14P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
D4,adcQL1_n<4>,IOB,IO_L14N_VREF_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
D5,,IOBM,IO_L10P_CC_16,UNUSED,,16,,,,,,,,,
D6,,IOBS,IO_L10N_CC_16,UNUSED,,16,,,,,,,,,
D7,,,VCCO_16,,,16,,,,,any******,,,,
D8,ckAdcI1_p,IOB,IO_L8P_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
D9,adcI1_n<2>,IOB,IO_L4N_VREF_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
D10,,IOBS,IO_L0N_16,UNUSED,,16,,,,,,,,,
D11,,IOBM,IO_L0P_16,UNUSED,,16,,,,,,,,,
D12,,,GND,,,,,,,,,,,,
D13,,IOBM,IO_L1P_CC_GC_3,UNUSED,,3,,,,,,,,,
D14,,IOBS,IO_L1N_CC_GC_3,UNUSED,,3,,,,,,,,,
D15,clk25MHz_p,IOB,IO_L3P_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,DIFF_TERM,
D16,adcI2_p<3>,IOB,IO_L3P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
D17,,,VCCO_3,,,3,,,,,2.50,,,,
D18,,IOBM,IO_L4P_15,UNUSED,,15,,,,,,,,,
D19,,IOBS,IO_L9N_CC_15,UNUSED,,15,,,,,,,,,
D20,ckAdcI2_n,IOB,IO_L10N_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
D21,ckAdcI2_p,IOB,IO_L10P_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
D22,,,GND,,,,,,,,,,,,
D23,adcQH1_p<7>,IOB,IO_L12P_VRN_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
D24,adcQH1_p<5>,IOB,IO_L16P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
D25,adcQH1_n<6>,IOB,IO_L19N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
D26,adcQH1_p<6>,IOB,IO_L19P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
E1,riserv_n<1>,IOBS,IO_L0N_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
E2,riserv_p<1>,IOBM,IO_L0P_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
E3,riserv_n<0>,IOB,IO_L1N_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
E4,,,VCCO_16,,,16,,,,,any******,,,,
E5,ucSpiSdo,IOB,IO_L1N_12,INPUT,LVCMOS33,12,,,,NONE,,LOCATED,NO,NONE,
E6,ucSpiSdi,IOB,IO_L1P_12,TRISTATE,LVCMOS33,12,12,SLOW,,,,LOCATED,NO,NONE,
E7,dataUsb<0>,IOB,IO_L0P_12,BIDIR,LVCMOS33,12,12,SLOW,,NONE,,LOCATED,NO,NONE,
E8,,IOBS,IO_L8N_GC_3,UNUSED,,3,,,,,,,,,
E9,,,GND,,,,,,,,,,,,
E10,,IOBM,IO_L4P_GC_3,UNUSED,,3,,,,,,,,,
E11,,IOBS,IO_L4N_GC_VREF_3,UNUSED,,3,,,,,,,,,
E12,,IOBM,IO_L2P_GC_VRN_3,UNUSED,,3,,,,,,,,,
E13,free_p,IOB,IO_L0N_CC_GC_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E14,,,VCCO_3,,,3,,,,,2.50,,,,
E15,clk25MHz_n,IOB,IO_L3N_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,DIFF_TERM,
E16,,IOBM,IO_L5P_GC_3,UNUSED,,3,,,,,,,,,
E17,,IOBS,IO_L5N_GC_3,UNUSED,,3,,,,,,,,,
